"profession","index","heading","sub-heading","level","content"
"Government Economic Service","1.1.1","Application of Knowledge","Applying economic theory and analysis","Level 1 - Awareness - Apprentice/Placement","Has a clear willingness to learn and apply relevant economic theory and can discuss the limits of theory when it comes to real world application."
"Government Economic Service","1.2.1","Application of Knowledge","Applying economic theory and analysis","Level 2 – Practitioner: HEO","Displays sufficient depth and breadth of understanding of core economics."
"Government Economic Service","1.2.2","Application of Knowledge","Applying economic theory and analysis","Level 2 – Practitioner: HEO","Has the ability to explain and apply theory from different branches of economics - for example applying behavioural economics to a microeconomic context, applying economic history to macroeconomics / contemporary macroeconomic context etc. Can demonstrate an emergent capability to tailor such theoretical application to their environment (role, departmental context, policy context etc)."
"Government Economic Service","1.3.1","Application of Knowledge","Applying economic theory and analysis","Level 2 – Practitioner: SEO","Can explain and apply concepts in intermediate microeconomics and macroeconomics."
"Government Economic Service","1.3.2","Application of Knowledge","Applying economic theory and analysis","Level 2 – Practitioner: SEO","Is able to demonstrate elements of specialist economics knowledge in a specific field (such as international trade, industrial economics, development economics, public finance) and/or can demonstrate advanced Departmental or role-specific economic knowledge."
"Government Economic Service","1.4.1","Application of Knowledge","Applying economic theory and analysis","Level 3 – Expert: G7","Can explain and apply a variety of economic tools, techniques, and methods to a range of work/policy areas, making use of relevant economic theory (e.g. international trade, industrial economics, development economics, public finance) to develop/oversee the evidence base for policy development. Must demonstrate this ability across the areas of macroeconomics and microeconomics."
"Government Economic Service","1.4.2","Application of Knowledge","Applying economic theory and analysis","Level 3 – Expert: G7","Able to scope areas of work identifying objectives, analytical methods, resources required and potential delivery risks."
"Government Economic Service","1.4.3","Application of Knowledge","Applying economic theory and analysis","Level 3 – Expert: G7","Able to recognise when complementary expertise and collaborative working is required e.g., scientists, other social scientists, other government analytical professions and data specialists."
"Government Economic Service","1.5.1","Application of Knowledge","Applying economic theory and analysis","Level 3 – Expert: G6","Understands high-level business objectives and strategy to anticipate demands for economic analysis."
"Government Economic Service","1.5.2","Application of Knowledge","Applying economic theory and analysis","Level 3 – Expert: G6","Oversees and challenges as appropriate the application of economic tools, techniques, and methods to a range of policy areas, making use of deep department-specific economic knowledge."
"Government Economic Service","1.5.3","Application of Knowledge","Applying economic theory and analysis","Level 3 – Expert: G6","Scopes broad areas of work identifying objectives, analytical methods, resources required and potential delivery risks."
"Government Economic Service","1.5.4","Application of Knowledge","Applying economic theory and analysis","Level 3 – Expert: G6","Can recognise and digest complementary expertise from e.g., scientists, other social scientists, other government analytical professions, and data specialists."
"Government Economic Service","1.5.5","Application of Knowledge","Applying economic theory and analysis","Level 3 – Expert: G6","Leads teams to deliver cohesive analytical programmes across professions."
"Government Economic Service","1.6.1","Application of Knowledge","Applying economic theory and analysis","SCS","Uses economic insight to interpret high level strategic challenges."
"Government Economic Service","1.6.2","Application of Knowledge","Applying economic theory and analysis","SCS","Co-ordinates and directs analytical resources [or workstreams] to meet departmental and ministerial objectives."
"Government Economic Service","1.6.3","Application of Knowledge","Applying economic theory and analysis","SCS","Addresses the challenges of competing priorities for resourcing of economic analysis."
"Government Economic Service","2.1.1","Application of Knowledge","Synthesising the evidence","Level 1 - Awareness - Apprentice/Placement","Displays an ability to assess different methods, data or results being used, and to comment on the appropriateness of these methods."
