"row","profession","heading","sub-heading","level","grade","content"
1,"Government Economic Service","Application of Knowledge","Applying economic theory and analysis","Level 1 - Awareness - Apprentice/Placement","EO","Has a clear willingness to learn and apply relevant economic theory and can discuss the limits of theory when it comes to real world application."
2,"Government Economic Service","Application of Knowledge","Applying economic theory and analysis","Level 2 – Practitioner: HEO","HEO","Displays sufficient depth and breadth of understanding of core economics."
3,"Government Economic Service","Application of Knowledge","Applying economic theory and analysis","Level 2 – Practitioner: HEO","HEO","Has the ability to explain and apply theory from different branches of economics - for example applying behavioural economics to a microeconomic context, applying economic history to macroeconomics / contemporary macroeconomic context etc. Can demonstrate an emergent capability to tailor such theoretical application to their environment (role, departmental context, policy context etc)."
4,"Government Economic Service","Application of Knowledge","Applying economic theory and analysis","Level 2 – Practitioner: SEO","SEO","Can explain and apply concepts in intermediate microeconomics and macroeconomics."
5,"Government Economic Service","Application of Knowledge","Applying economic theory and analysis","Level 2 – Practitioner: SEO","SEO","Is able to demonstrate elements of specialist economics knowledge in a specific field (such as international trade, industrial economics, development economics, public finance) and/or can demonstrate advanced Departmental or role-specific economic knowledge."
6,"Government Economic Service","Application of Knowledge","Applying economic theory and analysis","Level 3 – Expert: G7","Grade 7","Can explain and apply a variety of economic tools, techniques, and methods to a range of work/policy areas, making use of relevant economic theory (e.g. international trade, industrial economics, development economics, public finance) to develop/oversee the evidence base for policy development. Must demonstrate this ability across the areas of macroeconomics and microeconomics."
7,"Government Economic Service","Application of Knowledge","Applying economic theory and analysis","Level 3 – Expert: G7","Grade 7","Able to scope areas of work identifying objectives, analytical methods, resources required and potential delivery risks."
8,"Government Economic Service","Application of Knowledge","Applying economic theory and analysis","Level 3 – Expert: G7","Grade 7","Able to recognise when complementary expertise and collaborative working is required e.g., scientists, other social scientists, other government analytical professions and data specialists."
9,"Government Economic Service","Application of Knowledge","Applying economic theory and analysis","Level 3 – Expert: G6","Grade 6","Understands high-level business objectives and strategy to anticipate demands for economic analysis."
10,"Government Economic Service","Application of Knowledge","Applying economic theory and analysis","Level 3 – Expert: G6","Grade 6","Oversees and challenges as appropriate the application of economic tools, techniques, and methods to a range of policy areas, making use of deep department-specific economic knowledge."
11,"Government Economic Service","Application of Knowledge","Applying economic theory and analysis","Level 3 – Expert: G6","Grade 6","Scopes broad areas of work identifying objectives, analytical methods, resources required and potential delivery risks."
12,"Government Economic Service","Application of Knowledge","Applying economic theory and analysis","Level 3 – Expert: G6","Grade 6","Can recognise and digest complementary expertise from e.g., scientists, other social scientists, other government analytical professions, and data specialists."
13,"Government Economic Service","Application of Knowledge","Applying economic theory and analysis","Level 3 – Expert: G6","Grade 6","Leads teams to deliver cohesive analytical programmes across professions."
14,"Government Economic Service","Application of Knowledge","Applying economic theory and analysis","SCS","Grade 5","Uses economic insight to interpret high level strategic challenges."
15,"Government Economic Service","Application of Knowledge","Applying economic theory and analysis","SCS","Grade 5","Co-ordinates and directs analytical resources [or workstreams] to meet departmental and ministerial objectives."
16,"Government Economic Service","Application of Knowledge","Applying economic theory and analysis","SCS","Grade 5","Addresses the challenges of competing priorities for resourcing of economic analysis."
17,"Government Economic Service","Application of Knowledge","Synthesising the evidence","Level 1 - Awareness - Apprentice/Placement","EO","Displays an ability to assess different methods, data or results being used, and to comment on the appropriateness of these methods."
18,"Government Economic Service","Application of Knowledge","Synthesising the evidence","Level 2 – Practitioner: HEO","HEO","Analyses complex information and data, drawing on economic knowledge and applying it to questions of interest for the department, while being aware of the limitations of economic analysis and the available data."
19,"Government Economic Service","Application of Knowledge","Synthesising the evidence","Level 2 – Practitioner: SEO","SEO","Analyses and synthesises complex information and data, drawing on economic knowledge and applying it to questions of interest for the department, while being aware of the limitations/risks of economic analysis and the available data. This may include developing detailed knowledge or expertise of a technical area."
20,"Government Economic Service","Application of Knowledge","Synthesising the evidence","Level 3 – Expert: G7","Grade 7","Leads development of analysis and synthesises evidence from a range of data and complex information sources, combining and developing these as appropriate. This will include building an understanding of data sources, measurement techniques and analytical debate relating to specific policy areas and ensuring issues of economic inequality and distribution are considered as required."
21,"Government Economic Service","Application of Knowledge","Synthesising the evidence","Level 3 – Expert: G6","Grade 6","Is accountable and ensures consistency between analytical products delivered across teams. This will include building an understanding of the opportunities and limitations of data sources, measurement techniques and analytical debate relating to specific policy areas and ensuring issues of economic inequality and distribution are considered as required."
